doi,year
10.1021/acs.jmedchem.3c01781,2024.0
10.1021/acs.jmedchem.3c01789,2024.0
10.1021/acs.jmedchem.3c01823,2024.0
10.1021/acs.jmedchem.3c02123,2024.0
10.1021/acs.jmedchem.3c02124,2024.0
10.1021/acs.jmedchem.3c02135,2024.0
10.1021/acs.jmedchem.3c02136,2024.0
10.1021/acs.jmedchem.3c02195,2024.0
10.1021/acs.jmedchem.3c02259,2024.0
10.1021/acs.jmedchem.3c02340,2024.0
10.1021/acs.jmedchem.3c02410,2024.0
10.1021/acs.jmedchem.3c02417,2024.0
10.1021/acs.jmedchem.4c00051,2024.0
10.1021/acs.jmedchem.4c00107,2024.0
10.1021/acs.jmedchem.4c00141,2024.0
10.1021/acs.jmedchem.4c00181,2024.0
10.1021/acs.jmedchem.4c00193,2024.0
10.1021/acs.jmedchem.4c00196,2024.0
10.1021/acs.jmedchem.4c00269,2024.0
10.1021/acs.jmedchem.4c00335,2024.0
10.1021/acs.jmedchem.4c00356,2024.0
10.1021/acs.jmedchem.4c00403,2024.0
10.1021/acs.jmedchem.4c00454,2024.0
10.1021/acs.jmedchem.4c00481,2024.0
10.1021/acs.jmedchem.4c00538,2024.0
10.1021/acs.jmedchem.4c00577,2024.0
10.1021/acs.jmedchem.4c00644,2024.0
10.1021/acs.jmedchem.4c00761,2024.0
10.1021/acs.jmedchem.4c00815,2024.0
10.1021/acs.jmedchem.4c00836,2024.0
10.1021/acs.jmedchem.4c00883,2024.0
10.1021/acs.jmedchem.4c00949,2024.0
10.1021/acs.jmedchem.4c00965,2024.0
10.1021/acs.jmedchem.4c00971,2024.0
10.1021/acs.jmedchem.4c01009,2024.0
10.1021/acs.jmedchem.4c01100,2024.0
10.1021/acs.jmedchem.4c01130,2024.0
10.1021/acs.jmedchem.4c01134,2024.0
10.1021/acs.jmedchem.4c01192,2024.0
10.1021/acs.jmedchem.4c01205,2024.0
10.1021/acs.jmedchem.4c01223,2024.0
10.1021/acs.jmedchem.4c01305,2024.0
10.1021/acs.jmedchem.4c01401,2024.0
10.1021/acs.jmedchem.4c01412,2024.0
10.1021/acs.jmedchem.4c01521,2024.0
10.1021/acs.jmedchem.4c01596,2024.0
10.1021/acs.jmedchem.4c01767,2024.0
10.1021/acs.jmedchem.4c01818,2024.0
10.1021/acs.jmedchem.4c01878,2024.0
10.1021/acs.jmedchem.4c01906,2024.0
10.1021/acs.jmedchem.4c01926,2024.0
10.1021/acs.jmedchem.4c01946,2024.0
10.1021/acs.jmedchem.4c02083,2024.0
10.1021/acs.jmedchem.6b01781,2017.0
10.1021/acs.jmedchem.6b01816,2017.0
10.1021/acs.jmedchem.6b01872,2017.0
10.1021/acs.jmedchem.6b01912,2017.0
10.1021/acs.jmedchem.6b01912; 10.1021/acschembio.5b00216,
10.1021/acs.jmedchem.7b00168,2017.0
10.1021/acs.jmedchem.7b01655,2018.0
10.1021/acs.jmedchem.8b00506,2018.0
10.1021/acs.jmedchem.8b00909,2018.0
10.1021/acs.jmedchem.8b01413,2018.0
10.1021/acs.jmedchem.8b01572,2019.0
10.1021/acs.jmedchem.8b01631,2019.0
10.1021/acs.jmedchem.8b01826,2019.0
10.1021/acs.jmedchem.9b00455,2019.0
10.1021/acs.jmedchem.9b00516,2019.0
10.1021/acs.jmedchem.9b00810,2019.0
10.1021/acs.jmedchem.9b00871,2019.0
10.1021/acs.jmedchem.9b00919,2019.0
10.1021/acs.jmedchem.9b01264,2019.0
10.1021/acs.jmedchem.9b01393,2019.0
10.1021/acs.jmedchem.9b01528,2019.0
10.1021/acs.jmedchem.9b01530,2019.0
10.1021/acs.jmedchem.9b01566,2020.0
10.1021/acs.jmedchem.9b02058,2020.0
10.1021/acs.jmedchem.9b02083,2020.0
10.1021/acs.jnatprod.2c00912,2023.0
10.1021/acs.molpharmaceut.9b00673,2019.0
10.1021/acs.nanolett.4c00201,2024.0
